Organisationsname,Straße,Postleitzahl,Stadt,Bildungsbereich,Tag(s),Schultyp,Bundesland,Land,Änderungsdatum
Karl-Ritter-von-Frisch-Gymnasium Moosburg,Albinstraße 5,85368,Moosburg,,"Ehrung_2015,Bewerbung MINT 2015,Erneute Bewerbung MINT 2018,Ehrung_2018,Wissensfabrik Partnerschulen 2018,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-05-28 16:20:09
Johann-Turmair-Realschule Abensberg,Stadionstr. 46,93326,Abensberg,,"Ehrung_2015,Bewerbung MINT 2015,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2018,Ehrung_2018,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2018-05-30 16:26:31
Stefan-Krumenauer-Realschule Eggenfelden,Schulstraße 7,84307,Eggenfelden,,"Ehrung_2011,Ehrung_2012,Ehrung_2015,Bewerbung MINT 2011,Bewerbung MINT 2015,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2019,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2020-03-16 15:31:18
Private staatlich anerkannte Tilly Realschule Ingolstadt,Am Brückenkopf 1 // Haus D,85051,Ingolstadt,,"Ehrung_2015,Bewerbung MINT 2015,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2018,Ehrung_2018,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2020-05-29 13:17:39
Staatliche Fachoberschule und Berufsoberschule Schwandorf,Glätzlstraße 29,92421,Schwandorf,,"Ehrung_2016,Erstbewerber MINT 2016,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2019,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Berufliche Oberschule,BY,Deutschland,2020-04-28 11:11:45
Staatliche Realschule Mainburg,Ebrantshauserstraße 68b,84048,Mainburg,,"Ehrung_2016,Erstbewerber MINT 2016,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2019,Vorbewertung 2019 erfolgt,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",staatliche Realschule,BY,Deutschland,2020-05-27 11:30:12
Kastulus-Realschule Moosburg,Breitenbergstraße 22,85368,Moosburg an der Isar,,"02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2020-05-11 17:05:16
Mittelschule Landau an der Isar,Maria-Ward-Platz 2,94405,Landau an der Isar,,"02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Mittelschule mit M-Zug und Mittlerem Bildungsabschluss,BY,Deutschland,2020-05-05 14:52:11
Staatliche Realschule Landshut,Christoph-Dorner-Str. 18,84028,Landshut,,"Ehrung_2013,Ehrung_2016,Erneute Bewerbung MINT 2016,Bewerbung MINT 2013,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2019,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2019-05-23 12:03:32
Frankenwald-Gymnasium Kronach,Am Schulzentrum 5,96317,Kronach,,"MINT-EC,Ehrung_2017,Erstbewerber MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-05-07 15:32:45
Chiemgau-Gymnasium Traunstein,Brunnwiese 1,83278,Traunstein,,"Ehrung_2016,Erstbewerber MINT 2016,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2018,Ehrung_2018,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-05-18 10:41:11
Viktor-Karell-Realschule Landau a.d. Isar,Pf.-Huber-Str. 17,94405,Landau,,"Ehrung_2012,Ehrung_2015,Bewerbung MINT 2012,Bewerbung MINT 2015,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2019,Vorbewertung 2019 erfolgt,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2020-05-09 16:59:50
Graf-Rasso-Gymnasium Fürstenfeldbruck,Münchnerstr. 69,82256,Fürstenfeldbruck,,"Ehrung_2017,Erstbewerber MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-05-31 16:54:21
Berufliche Oberschule Regensburg Staatliche Fachoberschule und Berufsoberschule Regensburg,Fort-Skelly-Str. 31,93053,Regensburg,,"Erstbewerber MINT 2019,Vorbewertung 2019 erfolgt,Ehrung_2019,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Berufliche Oberschule,BY,Deutschland,2020-08-07 15:05:21
Wilhelm-Diess-Gymnasium Pocking,"Dr.-Karl-Weiß-Platz, 2",94060,Pocking,,"Erstbewerber MINT 2019,Vorbewertung 2019 erfolgt,Ehrung_2019,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2019-08-05 23:02:01
"Gregor-von-Scherr-Schule, staatl. Realschule Neunburg v. Wald",Katzdorfer Str. 22,92431,Neunburg v.Wald,,"Ehrung_2017,Erstbewerber MINT 2017,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2019,Vorbewertung 2019 erfolgt,Digitale Schule Ehrung 2019,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2020-05-11 15:34:40
Realschule Tegernseer Tal Gmund am Tegernsee,Tölzer Str. 100,83703,Gmund a. Tegernsee,,"Erstbewerber MINT 2019,Vorbewertung 2019 erfolgt,Ehrung_2019,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2020-06-23 07:48:33
Oskar-Maria-Graf-Gymnasium Neufahrn,Keltenweg 5,85375,Neufahrn,,"Ehrung_2013,Ehrung_2016,Erneute Bewerbung MINT 2016,Bewerbung MINT 2013,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Smart School 2018,Erneute Bewerbung MINT 2019,Vorbewertung 2019 erfolgt,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-05-28 12:06:38
Dr.-Max-Josef-Metzger-Schule Staatl. Realschule Meitingen,Gartenstraße 3,86405,Meitingen,,"Wissensfabrik Partnerschulen 2018,02 Erst-Bewerbung Digitale Schule 2020,02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2020-04-06 13:48:56
Grundschule Puchheim-Süd,Distelweg 13,82178,Puchheim,Primarbereich,"Wissensfabrik Partnerschulen 2018,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BY,Deutschland,2020-05-05 14:42:12
"Maria-Ward-Schule Kempten, Mädchenrealschule des Schulwerks der Diözese Augsburg",Hoffeldweg 12,87439,Kempten,,"02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2020-06-11 14:16:13
Ifs - Institut für Fremdsprachen Schweinfurt,Carl-Zeiss-Straße 14,97424,Schweinfurt,,"02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Berufsfachschule,BY,Deutschland,2020-08-04 00:59:55
Dr.-Johanna-Decker-Schulen Amberg,DEUTSCHE SCHULGASSE 2,92224,AMBERG,,"02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium und Realschule,BY,Deutschland,2020-05-27 10:47:37
Gymnasium an der Hamburger Straße Bremen,Hamburger Straße 12,28205,Bremen,,"Ehrung_2012,Ehrung_2016,Erneute Bewerbung MINT 2016,Bewerbung MINT 2012,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2019,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,HB,Deutschland,2020-07-31 12:51:39
Goethe-Gymnasium Bensheim,Auerbacher Str. 24,64625,Bensheim,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Metropolregion Rhein-Neckar MINT-Region,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,HE,Deutschland,2020-05-04 19:47:42
Neues Gymnasium Rüsselsheim,Grundweg 6,65428,Rüsselsheim am Main,,"Ehrung_2013,Ehrung_2016,Erneute Bewerbung MINT 2016,Bewerbung MINT 2013,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Smart School 2018,Erneute Bewerbung MINT 2019,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,HE,Deutschland,2019-05-28 20:45:44
Fürst-Johann-Ludwig-Schule Hadamar,Freiherr-vom-Stein-Sraße,65589,Hadamar,,"Ehrung_2012,Ehrung_2015,Erneute Bewerbung MINT 2018,Ehrung_2018,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Kooperative Gesamtschule,HE,Deutschland,2020-06-05 08:40:41
Konrad-Duden-Schule Bad Hersfeld,Neumarkt 33,36251,Bad Hersfeld,,"Ehrung_2015,Region Nordhessen,Bewerbung MINT 2015,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Kooperative Gesamtschule,HE,Deutschland,2020-03-30 17:42:27
Werner-Heisenberg-Schule Rüsselsheim,Königstädter Str. 72-82,65428,Rüsselsheim am Main,,"Ehrung_2017,Erstbewerber MINT 2017,Digitale Schule Ehrung 2017,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Berufsbildende Schule,HE,Deutschland,2020-05-29 19:03:32
Theodor-Heuss-Schule Wetzlar,Frankfurter Str. 72,35578,Wetzlar,,"Erstbewerber MINT 2019,Vorbewertung 2019 erfolgt,Ehrung_2019,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Berufliche Schule,HE,Deutschland,2020-05-29 16:58:31
Marienschule Fulda,Lindenstrasse 27,36037,Fulda,,"Ehrung_2017,Erstbewerber MINT 2017,Digitale Schule Ehrung 2017,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,HE,Deutschland,2020-03-26 10:16:59
Alexander-von-Humboldt-Schule Lauterbach,Bahnhofstraße 44-48,36341,Lauterbach,,"Ehrung_2017,Erstbewerber MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,HE,Deutschland,2020-05-29 13:29:03
Schule an der Wascherde Lauterbach,An der Wascherde 26,36341,Lauterbach,,"Ehrung_2017,Erstbewerber MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",verbundene Haupt- und Realschule mit Förderstufe,HE,Deutschland,2020-03-17 12:51:14
Adorno-Gymnasium Frankfurt,Miquelallee 160,60323,Frankfurt am Main,,"Ehrung_2017,Erstbewerber MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,HE,Deutschland,2020-06-05 13:14:21
Oranienschule Wiesbaden,Oranienstraße 5-7,65185,Wiesbaden,,"Ehrung_2017,Erstbewerber MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,HE,Deutschland,2020-05-30 16:33:38
Heinrich-Mann-Schule Dietzenbach,Etruskerstr. 2,63128,Dietzenbach,,"Erstbewerber MINT 2018,Ehrung_2018,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Kooperative Gesamtschule mit gymnasialer Oberstufe,HE,Deutschland,2020-05-29 15:28:23
Holderbergschule Eschenburg,Am Holderberg 2,35713,Eschenburg,,"Ehrung_2015,Bewerbung MINT 2015,Wissensfabrik Partnerschulen 2018,Erneute Bewerbung MINT 2019,07 ReZi HF,Ehrung_2019,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gesamtschule,HE,Deutschland,2020-05-28 13:00:05
Gustav-Heinemann-Schule Rüsselsheim,Königstädter Str. 82,65428,Rüsselsheim,,"Ehrung_2015,Bewerbung MINT 2015,Digitale Schule Ehrung 2017,Erneute Bewerbung MINT 2018,Ehrung_2018,Wissensfabrik Partnerschulen 2018,Smart school 2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Oberstufengymnasium,HE,Deutschland,2020-03-17 14:00:20
Berufliche Schulen Groß-Gerau,Darmstädter Str. 90,64521,Groß-Gerau,,"Erstbewerber MINT 2019,Vorbewertung 2019 erfolgt,Ehrung_2019,Smart school 2019,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Berufliche Schule,HE,Deutschland,2020-05-27 14:44:37
Erich Kästner Schule Baunatal,Friedrich-Ebert-Allee 33,34225,Baunatal,,"Ehrung_2016,Erstbewerber MINT 2016,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2019,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Integrierte Gesamtschule,HE,Deutschland,2020-05-29 13:45:46
Reichenberg-Schule Reichelsheim,Beerfurther Str. 24,64385,Reichelsheim,Primarbereich,"Ehrung_2014,Bewerbung MINT 2014,Metropolregion Rhein-Neckar MINT-Region,Ehrung_2017,Erneute Bewerbung MINT 2017,Bewerbung Digitale Schule 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,Wissensfabrik Partnerschulen 2018,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,HE,Deutschland,2020-03-17 11:35:49
Alexander-von-Humboldt-Schule Viernheim,Franconvilleplatz,68519,viernheim,,"Erstbewerber MINT 2018,Bewerbung Digitale Schule 2018,Ehrung_2018,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gesamtschule mit gymnasialer Oberstufe,HE,Deutschland,2020-04-09 15:33:48
Kaufmännische Schulen des Lahn-Dill-Kreises,Herwigstr. 34,35683,Dillenburg,,"02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Berufliche Schule,HE,Deutschland,2020-05-26 19:18:24
Gymnasium Osterbek Hamburg,Turnierstieg 24,22179,Hamburg,,"Ehrung_2012,Ehrung_2016,Bewerbung MINT 2012,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2018,Ehrung_2018,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,HH,Deutschland,2020-05-31 21:17:09
School of Life Science Hamburg,Schnackenburgallee 114,22525,Hamburg,,"Ehrung_2012,Ehrung_2015,Ehrung_2016,Bewerbung MINT 2012,Bewerbung MINT 2015,Digitale Schule Ehrung 2017,Erneute Bewerbung MINT 2018,Ehrung_2018,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Berufsfachschule,HH,Deutschland,2018-10-10 11:04:56
Gymnasium Ohmoor Hamburg,Sachsenweg 76,22455,Hamburg,,"Ehrung_2016,Erstbewerber MINT 2016,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Wissensfabrik Partnerschulen 2018,Erneute Bewerbung MINT 2019,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020",Gymnasium,HH,Deutschland,2020-05-29 16:12:23
Campus29 Hamburg,Flachsland 29,22083,Hamburg,,"02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Fachschule für Sozialpädagogik,HH,Deutschland,2020-07-15 15:23:44
Gymnasium am Wall Verden,Windmühlenstr. 9,27283,Verden,,"Ehrung_2013,Ehrung_2016,Erneute Bewerbung MINT 2016,Bewerbung MINT 2013,Bewerbung Digitale Schule 2019,Erneute Bewerbung MINT 2019,Vorbewertung 2019 erfolgt,07 ReZi HF,Ehrung_2019,keine Digital Ehrung 2019,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,NI,Deutschland,2020-05-29 15:49:03
Oberschule Badenhausen,Am Johannisborn 16,37539,Bad Grund,,"Ehrung_2016,Erstbewerber MINT 2016,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2019,Vorbewertung 2019 erfolgt,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Oberschule,NI,Deutschland,2020-03-19 19:17:54
Gymnasium Lüneburger Heide Melbeck,Schützenstr. 3,21406,Melbeck,,"Ehrung_2013,Ehrung_2016,Erneute Bewerbung MINT 2016,Bewerbung MINT 2013,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2019,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,NI,Deutschland,2020-03-23 08:41:30
Georg-von-Langen-Schule BBS Holzminden,Von-Langen-Allee 5,37603,Holzminden,,"Ehrung_2015,Bewerbung MINT 2015,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2019,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Berufsschule,NI,Deutschland,2020-08-06 11:08:47
Gymnasium an der Willmsstraße Delmenhorst,Willmsstraße 4,27749,Delmenhorst,,"Erstbewerber MINT 2018,Ehrung_2018,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymansium,NI,Deutschland,2020-05-12 10:35:06
Grundschule auf dem Süsteresch,"Süsterstraße 12, ",48465,Schüttorf,Primarbereich,"Ehrung_2016,Erstbewerber MINT 2016,Erneute Bewerbung MINT 2019,07 ReZi HF,Ehrung_2019,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,NI,Deutschland,2020-05-29 12:04:10
Oberschule Langen Geestland,Nordeschweg 52,27607,Geestland,,"Erstbewerber MINT 2019,Vorbewertung 2019 erfolgt,keine MINT Ehrung 2019,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Oberschule mit gymnasialem Zweig,NI,Deutschland,2020-08-03 06:51:12
Oskar-Schindler-Gesamtschule Hildesheim,Bromberger Straße 36,31141,Hildesheim,,"02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gesamtschule,NI,Deutschland,2020-05-15 11:20:37
"Schule am Osterfehn, Ostrhauderfehn","Hauptstraße, 155",26842,Ostrhauderfehn,,"02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020",Haupt- und Realschule,NI,Deutschland,2020-05-25 22:28:12
Schule Am Dobrock - Oberschule Cadenberge,Oberreihe 11,21781,Cadenberge,,"Ehrung_2013,Ehrung_2016,Erneute Bewerbung MINT 2016,Bewerbung MINT 2013,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Oberschule,NI,Deutschland,2020-05-27 07:11:07
Gymnasium am Markt Bünde,Marktstraße 12,32257,Bünde,,"Ehrung_2014,Ehrung_2015,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,NW,Deutschland,2020-05-16 19:41:06
Pascal-Gymnasium Grevenbroich,Schwarzer Weg 1,41515,Grevenbroich,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Unesco Projektschule,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,NW,Deutschland,2020-05-29 17:48:17
Ricarda-Huch-Gymnasium Gelsenkirchen,Schultestraße 50,45888,Gelsenkirchen,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Unesco Projektschule,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,NW,Deutschland,2020-05-31 20:33:13
Hans-Böckler Berufskolleg Marl,Hagenstr.15,45768,Marl,,"Ehrung_2012,Ehrung_2015,Bewerbung MINT 2012,Bewerbung MINT 2015,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2018,Bewerbung Digitale Schule 2018,Ehrung_2018,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Berufskolleg,NW,Deutschland,2018-06-13 12:22:06
Gesamtschule Hüllhorst,Osterstraße 7,32609,Hüllhorst,,"Ehrung_2013,Ehrung_2016,Erneute Bewerbung MINT 2016,Bewerbung MINT 2013,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2019,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gesamtschule,NW,Deutschland,2019-05-31 18:35:26
