Organisationsname,Straße,Postleitzahl,Stadt,Bildungsbereich,Tag(s),Schultyp,Bundesland,Land,Änderungsdatum
Dietrich-Bonhoeffer-Gymnasium Weinheim,Breslauer Str. 60,69469,Weinheim,,"Ehrung_2013,Ehrung_2016,Erneute Bewerbung MINT 2016,Bewerbung MINT 2013,Metropolregion Rhein-Neckar MINT-Region,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2019,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-15 10:43:46
Gewerbliche Schule Bad Mergentheim,Seegartenstr. 16,97980,Bad Mergentheim,,"Ehrung_2013,Ehrung_2016,Erneute Bewerbung MINT 2016,Bewerbung MINT 2013,Wissensfabrik Partnerschulen 2018,Bewerbung Digitale Schule 2019,Erneute Bewerbung MINT 2019,Vorbewertung 2019 erfolgt,07 ReZi HF,Ehrung_2019,keine Digital Ehrung 2019,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Berufsschule,BW,Deutschland,2020-05-31 23:51:57
Humboldt-Gymnasium Karlsruhe,Wilhelm-Hausenstein-Allee 22,76187,Karlsruhe,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-28 10:36:27
Leibniz Gymnasium Rottweil,Heerstraße 140,78628,Rottweil,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-07-02 11:48:24
Georg-Büchner-Gymnasium Winnenden,Paulinenstr. 29-31,71364,Winnenden,,"Ehrung_2015,Bewerbung MINT 2015,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2019,Vorbewertung 2019 erfolgt,07 ReZi HF,Ehrung_2019,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-18 11:51:16
Eugen-Bolz Realschule Ellwangen,Berlinerstr. 27,73479,Ellwangen,,"Ehrung_2015,Bewerbung MINT 2015,Ehrung_2017,Digitale Schule Ehrung 2017,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BW,Deutschland,2020-05-28 13:37:02
Berufliches Schulzentrum Bietigheim-Bissingen,Fischerpfad 10-12,74321,Bietigheim-Bissingen,,"Ehrung_2015,Bewerbung MINT 2015,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2018,Ehrung_2018,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Berufsschule und Gewerbliche Gymnasien,BW,Deutschland,2018-05-29 18:02:39
Nikolaus-Kistner-Gymnasium Mosbach,Jean-de-la-Fontaine 6-10,74821,Mosbach,,"Ehrung_2016,Erstbewerber MINT 2016,Metropolregion Rhein-Neckar MINT-Region,Erneute Bewerbung MINT 2018,Bewerbung Digitale Schule 2018,Ehrung_2018,Digitale Schule Ehrung 2018,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-04-10 17:48:12
Wimpina-Grundschule Buchen,Dr. Fritz-Schmitt Ring 1,74722,Buchen,Primarbereich,"Ehrung_2013,Ehrung_2015,Bewerbung MINT 2013,Bewerbung MINT 2015,Metropolregion Rhein-Neckar MINT-Region,Erneute Bewerbung MINT 2018,Ehrung_2018,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BW,Deutschland,2020-03-19 11:23:27
Johannes-Kepler-Gymnasium Leonberg,Lindenstr. 4,71229,Leonberg,,"Wissensfabrik Partnerschulen 2018,Erstbewerber MINT 2019,Vorbewertung 2019 erfolgt,Ehrung_2019,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2019-05-28 16:33:04
